apb,APB - All Points Bulletin (set 1),
apb2,APB - All Points Bulletin (set 2),
appoooh,Appoooh,
arabian,Arabian,"Arabian is a rarity for Atari's arcade efforts -- a climber/platform game -- in which players lead a wanna-be Arabian Knight through various locales kicking monsters and birds out of the way before they touch him and cost the player a life. The action begins aboard a ship at sea, and later to an island and then a castle. Urns with letters on them are peppered around the screen and must be touched in the correct order to spell 'ARABIAN' for bonus points -- but beware of a huge genie that occasionally pops out of an urn to grab any adventurers within his grasp. The player's man can scale ladders and ropes, hang overhead from horizontal ropes, and hop from flying carpet to flying carpet (similar to Frogger's river logs) to navigate each level."
arabiana,Arabian (Atari),
arbalest,Arbalester,
arcadecl,Arcade Classics (prototype),
archriv2,Arch Rivals (rev 2.0),
archrivl,Arch Rivals (rev 4.0),
area88,Area 88 (Japan),
argus,Argus,
ark2jp,Arkanoid - Revenge of DOH (Japan),
ark2us,Arkanoid - Revenge of DOH (US),
arkangc,Arkanoid (Game Corporation bootleg),
arkanoi2,Arkanoid - Revenge of DOH (World),
arkanoid,Arkanoid (World),"Much like the game Breakout, the player controls the 'Vaus', a space vessel that acts as the game's 'paddle' which prevents a ball from falling from the playing field, attempting to bounce it against a number of bricks. The ball striking a brick causes the brick to disappear. When all the bricks are gone, the player goes to the next level, where another pattern of bricks appear. There are a number of variations (bricks that have to be hit multiple times, flying enemy ships, etc.) and power-up capsules to enhance the Vaus (expand the Vaus, multiply the number of balls, equip a laser cannon, break directly to the next level, etc.), but the gameplay remains the same."
arkarea,Ark Area,
arkatayt,Arkanoid (Tayto bootleg, Japanese),
arkatour,Tournament Arkanoid (US),
arkbl2,Arkanoid (Japanese bootleg Set 2),
arkbloc2,Block (Game Corporation bootleg),
arknoidj,Arkanoid (Japan),
arknoidu,Arkanoid (US),
armedf,Armed Formation,
armora,Armor Attack,
armorca2,Armored Car (set 2),
armorcar,Armored Car (set 1),
armwrest,Arm Wrestling,
ashura,Ashura Blaster (Japan),
ashurau,Ashura Blaster (US),
aso,ASO - Armored Scrum Object,
assault,Assault,"Ion Assault is a twinstick shooter with a space ship, set in enclosed arenas in space similar to Geometry Wars. The left stick is used for movement and the right one for aiming, shown through a red laser. The goal is to survive waves of enemies and space debris (mainly rocks, splitting up into smaller elements similar to Asteroids), but there is a twist to it. Rather than shooting directly, the ship can activate a mass reactor, slightly slowing down movement, but it enables the ship to gather a large mass of ions floating in the arena and concentrate it around the ship. These can then be fired in the desired direction and the amount determines the damage. These ions ricochet off walls and can therefore target multiple enemies, or be caught, before they spread out in the playfield again. There are no other basic means of attack, so the 'bullets' are all around the field to be gathered and recycled again."
assaultj,Assault (Japan),
assaultp,Assault Plus (Japan),
astdelu1,Asteroids Deluxe (rev 1),
astdelux,Asteroids Deluxe (rev 2),
asteroi1,Asteroids (rev 1),"Trapped in space somewhere between the planets Ortanus and Earth, your ship is suddenly surrounded by a field of massive asteroids. And, as if that weren't enough excitement for one day, a group of alien saucers stage a surprise attack. Quickly you take over the controls to save your ship from imminent doom. You must thrust away from the path of the oncoming asteroids. Put up shields to protect the ship. Hyperspace into thin air. Flip over and get the asteroids attacking from behind. It's all in your hands now. Good luck!Thought to have been planned to be a launch title for the Atari 5200 system due to the catalog number of CX5201. However it was never officially released but the prototype was found eventually. It's very similar to the Atari 8-Bit version of the game but unfortunately the controls are pretty poor with the 5200 joystick. There was an official controller that was planned to be released along with the game but sadly this was not to be."
asteroib,Asteroids (bootleg on Lunar Lander hardware),
asteroid,Asteroids (rev 2),
astinvad,Astro Invader,
astorm,Alien Storm,
astorm2p,Alien Storm (2 Player),
astormbl,Alien Storm (bootleg),
astrob,Astro Blaster (version 3),
astrob1,Astro Blaster (version 1),
astrob2,Astro Blaster (version 2),
astrof,Astro Fighter (set 1),
astrof2,Astro Fighter (set 2),
astrof3,Astro Fighter (set 3),
astyanax,Astyanax, The,
atarifb,Atari Football (revision 2),
atarifb1,Atari Football (revision 1),
atarifb4,Atari Football (4 players),
ataxx,Ataxx (set 1),
ataxxa,Ataxx (set 2),
ataxxj,Ataxx (Japan),
atetckt2,Tetris (Cocktail set 2),
atetcktl,Tetris (Cocktail set 1),
atetris,Tetris (set 1),"Your pulse quickens. Beams, boxes, zig-zags and 'L' shaped building blocks drop relentlessly down a narrow passage. You quickly spin, shift, and align the shapes then slide them in for a perfect fit. It's challenging and the pace is demanding. But satisfaction comes as you position each block neatly into place."
atetrisa,Tetris (set 2),
atetrisb,Tetris (bootleg),
athena,Athena,
atlantis,Battle of Atlantis (set 1),
atlants2,Battle of Atlantis (set 2),
atomicp,Atomic Point,
aurail,Aurail (set 1),
auraila,Aurail (set 2),
avalnche,Avalanche,
avenger2,Avengers (set 2),
avengers,Avengers (set 1),
avspirit,Avenging Spirit,
aztarac,Aztarac,
azurian,Azurian Attack,
baddudes,Bad Dudes vs. Dragonninja (US),
badlands,Bad Lands,
bagman,Bagman,
bagmans,Bagman (Stern set 1),
bagmans2,Bagman (Stern set 2),
bagnard,Le Bagnard,
bakatono,Bakatonosama Mahjong Manyuki,
ballbomb,Balloon Bomber,"You control a shooter that moves left and right and shoots balloons that drop bombs at you. If the bomb misses you, it makes a crater at which point you cannot move past, thereby limiting your movement to avoid bombs."
baluba,Baluba-louk no Densetsu,
bandido,Bandido,
bankp,Bank Panic,
baraduke,Baraduke,
barrier,Barrier,
basebal2,Baseball The Season II,
batman,Batman,
batsugun,Batsugun,
battlan2,Battle Lane Vol. 5 (set 2),
battlan3,Battle Lane Vol. 5 (set 3),
battlane,Battle Lane Vol. 5 (set 1),
battlera,Battle Rangers (World),
battlntj,Battlantis (Japan),
battlnts,Battlantis,
battroad,Battle-Road, The,
batugnsp,Batsugun Special Ver.,
bayrouta,Bay Route (set 2),
bayroute,Bay Route (set 1),
bayrtbl1,Bay Route (bootleg set 1),
bayrtbl2,Bay Route (bootleg set 2),
bbros,Buster Bros (US),
bchopper,Battle Chopper,"Players control a wacky fighter chopper name Mr. Heli, while shooting enemies, collecting power-ups, and defeating bosses to advance levels."
beastf,Beastie Feastie,
berabohm,Beraboh Man (Japan),
berlwall,Berlin Wall, The (set 1),
berlwalt,Berlin Wall, The (set 2),
bermudaa,Bermuda Triangle (US early version),
bermudaj,Bermuda Triangle (Japan),
bermudat,Bermuda Triangle (US),
berzerk,Berzerk (set 1),"After a routine space exploration mission goes awry, you find yourself marooned on the planet Mazeon. To add insult to injury, the robotic residents are out to kill you. Now you're forced to fend off these relentless robots as you move through endless mazelike environments. In Berzerk, the goal is to make your way past the electrified walls forming each screen while using your laser gun to blast the hostile threats known as Automazeons. Firing your weapon involves pointing the joystick in one of eight directions and pressing a button. You can also lead robots into walls and even into their own shots to defeat them."
berzerk1,Berzerk (set 2),
bigkarnk,Big Karnak,
bigprowr,Big Pro Wrestling!, The,
bigstrik,Big Striker,
billiard,Billiards, The,
bioatack,Bio Attack,
biomtoy,Biomechanical Toy (unprotected),
bionicc,Bionic Commando (US set 1),
bionicc2,Bionic Commando (US set 2),
bjourney,Blue's Journey / Raguy,
bjtwin,Bombjack Twin,
bking2,Birdie King 2,
bktigerb,Black Tiger (bootleg),
bladestl,Blades of Steel (version T),
bladstle,Blades of Steel (version E),
blandia,Blandia Prototype,
blasted,Blasted,
blaster,Blaster,
blasto,Blasto,
blastoff,Blast Off (Japan),
blazer,Blazer (Japan),
blazstar,Blazing Star,
blckgalb,Block Gal (bootleg),
blckout2,Block Out (set 2),
bldwolf,Bloody Wolf (US),
blkdrgnb,Black Dragon (bootleg),
blkdrgon,Black Dragon,
blkhole,Black Hole,
blktiger,Black Tiger,
block,Block Block (World),
blockade,Blockade,
blockbl,Block Block (bootleg),
blocken,Blocken (Japan),
blockgal,Block Gal,
blockhl,Block Hole,
blockj,Block Block (Japan),
blockout,Block Out (set 1),
bloodbro,Blood Bros.,
blsthead,Blasteroids (with heads),
blstroi2,Blasteroids (version 2),
blstroid,Blasteroids (version 4),
blswhstl,Bells & Whistles,
blueprnj,Blue Print (Jaleco),
blueprnt,Blue Print (Midway),
blueshrk,Blue Shark,
bmaster,Blade Master (World),
bnj,Bump 'n' Jump,
boblbobl,Bobble Bobble,
bodyslam,Body Slam,
bogeyman,Bogey Manor,
bombbee,Bomb Bee,
bombjac2,Bomb Jack (set 2),
bombjack,Bomb Jack (set 1),
bootcamp,Boot Camp,
boothill,Boot Hill,
bosco,Bosconian (new version),
boscomd,Bosconian (Midway, new version),
boscomdo,Bosconian (Midway, old version),
boscoo,Bosconian (old version),
boscoo2,Bosconian (older version),
bottom9,Bottom of the Ninth (version T),
bottom9n,Bottom of the Ninth (version N),
bouldash,Boulder Dash / Boulder Dash Part 2 (World),
bowler,4 Player Bowling,
bowlrama,Bowl-O-Rama,
boxingb,Boxing Bugs,
brain,Brain,
breakers,Breakers,
breakrev,Breakers Revenge,
breywood,Breywood (Japan revision 2),
brix,Brix,
brkthru,Break Thru (US),
brkthruj,Kyohkoh-Toppa (Japan),
brubber,Burnin' Rubber,
brutforc,Brute Force,
bsktball,Basketball,
bstars,Baseball Stars Professional,
bstars2,Baseball Stars 2,
btime,Burger Time (Data East set 1),"The player is chef Peter Pepper, who must walk over hamburger ingredients located across a maze of platforms while avoiding pursuing characters. The game's original Japanese title, Hamburger (ハンバーガー?), was changed to BurgerTime before its introduction to the United States.In the United States, Data East USA licensed BurgerTime for distribution by Bally Midway as a standard dedicated arcade game. Data East also released its own version of BurgerTime in the US through the DECO Cassette System. The Data East and Midway versions are distinguished by the manufacturer's name on the title screen and by the marquee and cabinet artworks, as the game itself is identical."
btime2,Burger Time (Data East set 2),
btimem,Burger Time (Midway),
btlfield,Battle Field (Japan),
bubbles,Bubbles,
bubblesr,Bubbles (Solid Red label),
bubbobr1,Bubble Bobble (US),
bublbobl,Bubble Bobble,
bublbobr,Bubble Bobble (US with mode select),
bullfgtj,Tougyuu, The (Japan),
burnforc,Burning Force (Japan),
burningf,Burning Fight (set 1),
burningh,Burning Fight (set 2),
butasan,Butasan (Japan),
bwidow,Black Widow,"Black Widow is a vector arcade game developed by Atari released in 1982. The player takes the role of a Black widow spider defending a web from invading bugs. The player must move the spider around the web while simultaneously shooting/avoiding various bugs and collecting the bonuses that appear after the enemies are eliminated. The spider is controlled through two joysticks: the left one is used to move the spider, and the right one to control the shot direction."
bzone,Battle Zone (set 1),"In 1980, Battlezone stunned the world by presenting the first game in 3-D. Two decades later, Battlezone - This Means War, developed by Activision company, reinvade the game univero with a genre that combines first-person action and strategy in real time, as revolutionary as it was the first title.In Battlezone player combat in 1st person and command attacks with over 30 different units at the same time it manages the resources available over seven moons and planets"
bzone2,Battle Zone (set 2),
cabal,Cabal (US set 1),
cabal2,Cabal (US set 2),
cabalbl,Cabal (bootleg),
cachat,Cachat (Japan),
calibr50,Caliber 50,
calipso,Calipso,
cameltru,Camel Try (US),
cameltry,Camel Try (Japan),
canbprot,Canyon Bomber (prototype),
canyon,Canyon Bomber,
capbowl,Capcom Bowling (set 1),
capbowl2,Capcom Bowling (set 2),
captcomj,Captain Commando (Japan),
captcomm,Captain Commando (World),
captcomu,Captain Commando (US),
caractn,Car Action,
carnival,Carnival (upright),
carnvckt,Carnival (cocktail),
cavenger,Cosmic Avenger,
cawing,Carrier Air Wing (World),
cawingj,U.S. Navy (Japan),
cbasebal,Capcom Baseball (Japan),
cbuster,Crude Buster (World FX version),
cbusterj,Crude Buster (Japan),
cbusterw,Crude Buster (World FU version),
ccastle2,Crystal Castles (set 2),
ccastles,Crystal Castles (set 1),
ccboot,Crazy Climber (bootleg set 1),
ccboot2,Crazy Climber (bootleg set 2),
cchasm,Cosmic Chasm (set 1),
cchasm1,Cosmic Chasm (set 2),
cclimber,Crazy Climber (US),"As Crazy Climber, climb your way to the top of a series of buildings, where a helicopter is waiting to pick you up and take you to the next building. As Climber scales a building, he is able to climb up and sideways but he cannot climb down. While climbing a building, windows will open and close simultaneously. If any window closes on either of his hands he will lose his grip. However, if a window closes on both of his hands, he will fall to his death, resulting in the loss of a life. You have three Climbers in total, but you are awarded an extra Climber every 30,000 points. Besides windows, Climber is faced with other dangers, including:-Bald-headed guys who hurl various objects at you.-Pesky condors who fly by, dropping eggs and droppings of an unpleasant substance.-Falling steel girders and iron dumbells.-Electrical 'Nichibutsu' signs with a dangling live wire.-Falling 'Crazy Climber' signs.-King Kong leaping from side to side of the building and slams his hands against the windows."
cclimbr2,Crazy Climber 2 (Japan),
cclimbrj,Crazy Climber (Japan),
centipb2,Centipede (bootleg set 2),
centipd2,Centipede (revision 2),
centipdb,Centipede (bootleg set 1),
centiped,Centipede (revision 3),"The player moves the character about the bottom area of the screen and fires laser shots at a centipede advancing from the top of the screen down through a field of mushrooms. Shooting any section of the centipede creates a mushroom; shooting one of the middle segments splits the centipede into two pieces at that point. Each piece then continues independently on its way down the board, with the first section of the rear piece becoming a new head. If the head is destroyed, the section behind it becomes the next head."
cerberus,Cerberus,
challeng,Challenger,
champbas,Champion Baseball,
champbb2,Champion Baseball II,
champbbj,Champion Baseball (Japan),
champwr,Champion Wrestler (World),
champwrj,Champion Wrestler (Japan),
champwru,Champion Wrestler (US),
changes,Changes,
checkmaj,Checkman (Japan),
checkman,Checkman,
checkmat,Checkmate,
cheekyms,Cheeky Mouse,
chelnov,Chelnov - Atomic Runner (US),
chelnovj,Chelnov - Atomic Runner (Japan),
cheyenne,Cheyenne (version 1.0),
chikij,Chiki Chiki Boys (Japan),
chiller,Chiller (version 3.0),
chimerab,Chimera Beast,
chopper,Chopper I,
chplft,Choplifter,
chplftb,Choplifter (alternate),
chplftbl,Choplifter (bootleg),
chukatai,Chuka Taisen (Japan),
circus,Circus,
circusc,Circus Charlie,
circusc2,Circus Charlie (no level select),
circuscc,Circus Charlie (Centuri),
circusce,Circus Charlie (Centuri, earlier),
cischeat,Cisco Heat,
citycon,City Connection (set 1),
citycona,City Connection (set 2),
ckong,Crazy Kong (set 1),
ckonga,Crazy Kong (set 2),
ckongalc,Crazy Kong (Alca bootleg),
ckongjeu,Crazy Kong (Jeutel bootleg),
ckongo,Crazy Kong (Orca bootleg),
ckongs,Crazy Kong (Scramble hardware),
claypign,Clay Pigeon (version 2.0),
clbowl,Coors Light Bowling,
cloak,Cloak & Dagger,
cloud9,Cloud 9 (prototype),
clowns,Clowns,
cninja,Caveman Ninja (World revision 3),
cninja0,Caveman Ninja (World revision 0),
cninjau,Caveman Ninja (US),
cobracmj,Cobra-Command (Japan),
cobracom,Cobra-Command (World revision 5),
colony7,Colony 7 (set 1),
colony7a,Colony 7 (set 2),
combasc,Combat School (joystick),
combascb,Combat School (bootleg),
combascj,Combat School (Japan trackball),
combasct,Combat School (trackball),
combat,Combat (version 3.0),
commandj,Senjo no Ookami,
commando,Commando (World),
commandu,Commando (US),
commsega,Commando (Sega),
comotion,Comotion,
congo,Congo Bongo,
contra,Contra (US),"The universe teeters on the brink of total annihilation at the hands of the vile alien warmonger, Red Falcon. Earth's only hope rests with you, a courageous member of the Special Forces elite commando squad. Your mission: Battle deep into the deadly Amazon jungle, where the Red Falcon and his galactic henchmen have transformed ancient Mayan temples into awesome monuments dedicated to mass destruction. A multitude of weapons, from rapid-fire machine guns to high-tech lasers are at your disposal as you sweat blood, fighting past 3-D mazes, underground security systems, and tropical forests surrounded by giant waterfalls and alien cannons. This is the ultimate test for the ultimate guerilla warrior. And if you survive, Earth survives!"
contrab,Contra (US bootleg),
contraj,Contra (Japan),
contrajb,Contra (Japan bootleg),
cookrace,Cook Race,
cop01,Cop 01 (set 1),
cop01a,Cop 01 (set 2),
copsnrob,Cops'n Robbers,
cosmica,Cosmic Alien,
cosmica2,Cosmic Alien (older),
cosmicg,Cosmic Guerilla,
cosmicmo,Cosmic Monsters,
cosmogng,Cosmo Gang the Video (US),
cosmognj,Cosmo Gang the Video (Japan),
cottong,Cotocoto Cottong,
cracksht,Crackshot (version 2.0),
crash,Crash,
crater,Crater Raider,
crazyblk,Crazy Blocks,
crazycop,Crazy Cop (Japan),
crbalon2,Crazy Balloon (set 2),
crbaloon,Crazy Balloon (set 1),
crimec,Crime City (World),
crimecj,Crime City (Japan),
crimecu,Crime City (US),
crimfght,Crime Fighters (US 4 players),
crimfgt2,Crime Fighters (World 2 Players),
crimfgtj,Crime Fighters (Japan 2 Players),
crossbow,Crossbow (version 2.0),
crsword,Crossed Swords,
cruisin,Cruisin,
crush,Crush Roller (Kural Samno),
crush2,Crush Roller (Kural Esco - bootleg?),
crush3,Crush Roller (Kural - bootleg?),
cshift,Chicken Shift,
csilver,Captain Silver (Japan),
csprint,Championship Sprint,
ctribe,Combatribes, The (US),
ctribeb,Combatribes, The (bootleg),
cubybop,Cuby Bop,
cuebrick,Cuebrick,
curvebal,Curve Ball,
cutieq,Cutie Q,
cworld,Capcom World (Japan),
cworld2j,Capcom World 2 (Japan),
cybattlr,Cybattler,
cyberb2p,Cyberball 2072 (2 player),
cyberba2,Cyberball (Version 2),
cyberbal,Cyberball (Version 4),
cyberbt,Tournament Cyberball 2072,
cyberlip,Cyber-Lip,
dairesya,Dai Ressya Goutou (Japan),
dakkochn,DakkoChan Jansoh,
dangar,Dangar - Ufo Robo (12/1/1986),
dangar2,Dangar - Ufo Robo (9/26/1986),
dangarb,Dangar - Ufo Robo (bootleg),
dangerz,Danger Zone,
dangseed,Dangerous Seed (Japan),
darkadv,Dark Adventure,
darkplnt,Dark Planet,
darksea1,Dark Seal (World revision 1),"Fantasy hack and slash game with a lot of digital speech. Nice graphics with a Gauntlet-like gameplay. Up to four people can play at the same time.Nihon Bussan/AV Japan, the Dark Seal maker, released 142 different machines in our database under this trade name, starting in 1978.Other machines made by Nihon Bussan/AV Japan during the time period Dark Seal was produced include Super BurgerTime, Edward Randy, Boulder Dash, Two Crude, Joe & Mac - Ikusae Genshizin, Sly Spy, Trio The Punch - Never Forget Me..., Secret Agent, Hippodrome, and Mad Motor."
darkseaj,Dark Seal (Japan),
darkseal,Dark Seal (World revision 3),
darwin,Darwin 4078 (Japan),
dbldyn,Double Dynamites, The,
dblplay,Super Baseball Double Play Home Run Derby,
dbreed,Dragon Breed,
dcon,D-Con,
dday,D-Day,
ddayc,D-Day (Centuri),
ddonpach,Dodonpachi (Japan),"The player takes on the role of a squadron fighter facing a race of mechanized aliens that recently appeared and started causing havoc. There are three different ships to choose between, and each ship can be played in Laser or Shot mode."
ddrago3b,Double Dragon 3 - The Rosetta Stone (bootleg),
ddragon,Double Dragon (Japan),
ddragon2,Double Dragon II - The Revenge,
ddragon3,Double Dragon 3 - The Rosetta Stone,
ddragonb,Double Dragon (bootleg),
ddragonu,Double Dragon (US),
ddribble,Double Dribble,
dduxbl,Dynamite Dux (bootleg),
deadconj,Dead Connection (Japan),
deadconx,Dead Connection (World),
deadeye,Dead Eye,
defcmnd,Defense Command (set 1),
defence,Defence Command,
defender,Defender (Red label),
defendg,Defender (Green label),
defendw,Defender (White label),
demon,Demon,
demonwld,Demon's World / Horror Story,
depthch,Depthcharge,
desertgu,Desert Gun,
destderb,Demolition Derby,
destderm,Demolition Derby (2-Player Mono Board Version),
desterth,Destination Earth,
detatwin,Detana!! Twin Bee (Japan),
devilfsg,Devil Fish (Galaxian hardware, bootleg?),
devilfsh,Devil Fish,
devilw,Devil World,
devstor2,Devastators (version X),
devstor3,Devastators (version V),
devstors,Devastators (version Z),
devzone,Devil Zone,
dfeveron,Dangun Feveron (Japan),
diamond,Diamond Run,
digdug,Dig Dug (set 1),""
digdug2,Dig Dug II (set 1),
digdug2a,Dig Dug II (set 2),
digdugat,Dig Dug (Atari),
digdugb,Dig Dug (set 2),
digger,Digger,
dino,Cadillacs and Dinosaurs (World),
dinoj,Cadillacs Kyouryuu-Shinseiki (Japan),
dinorex,Dino Rex (World),
dinorexj,Dino Rex (Japan),
dinorexu,Dino Rex (US),
disco,Disco No.1,
dkgensan,Daiku no Gensan (Japan),
dkjrbl,Donkey Kong Junior (bootleg?),
dkjrjp,Donkey Kong Junior (Japan),
dkngjrjp,Donkey Kong Jr. (Original Japanese),
dkong,Donkey Kong (US),""
dkong3,Donkey Kong 3 (US),"Monkey Mayhem Lives On!Kiddy Kong is a portly primate toddler with incredible power and agility! He teams up with Dixie Kong to stop the ever-present army of Kremlings. The game play and ACM graphics just keep getting better in this visually stunning installment in one of the most popular video game series of all time!Combining their unique abilities as they throw each other into action, Dixie Kong and Kiddy Kong set off to rescue Diddy Kong and Donkey Kong. Collect tons of treasure, grab billions of bananas and find more secret stuff than you've ever seen (or not seen) as you set off on the greatest DKC adventure yet! The final showdown with KAOS takes place in a cliff-top laboratory at the End of the World. It could get seriously ugly. Monkey mayhem lives on in this exotic island adventure!"
dkong3j,Donkey Kong 3 (Japan),
dkongjp,Donkey Kong (Japan set 1),
dkongjpo,Donkey Kong (Japan set 2),
dkongjr,Donkey Kong Junior (US),
docastl2,Mr. Do's Castle (set 2),
docastle,Mr. Do's Castle (set 1),
dogfight,Dog Fight,
dogosoke,Dogou Souken,
dogpatch,Dog Patch,
dogyuun,Dogyuun,
dokaben,Dokaben (Japan),
domino,Domino Man,
dominos,Dominos,
dondokod,Don Doko Don (Japan),
dorunru2,Do! Run Run (set 2),
dorunruc,Do! Run Run (Do's Castle hardware),
dorunrun,Do! Run Run (set 1),
dotriku2,Dottori Kun (old version),
dotrikun,Dottori Kun (new version),
dotron,Discs of Tron (Upright),
dotrone,Discs of Tron (Environmental),
doubledr,Double Dragon (Neo-Geo),
douni,Mr. Do vs. Unicorns,
dowild,Mr. Do's Wild Ride,
downtown,DownTown,
dplay,Double Play,
dremshpr,Dream Shopper,
drgnbstr,Dragon Buster,
drgninja,Dragonninja (Japan),
drgnunit,Dragon Unit / Castle of Dragon,
driftout,Drift Out (Japan),
driveout,Drive Out,
drtoppel,Dr. Toppel's Tankentai (Japan),
dsaber,Dragon Saber,
dsaberj,Dragon Saber (Japan),
dsoccr94,Dream Soccer '94,
dspirit,Dragon Spirit (new version),
dspirito,Dragon Spirit (old version),
dumpmtmt,Dump Matsumoto (Japan),
dwj,Tenchi wo Kurau (Japan),
dyger,Dyger (set 1),
dygera,Dyger (set 2),
dynduke,Dynamite Duke,
dzigzag,Zig Zag (Dig Dug hardware),
eagle,Eagle (set 1),
eagle2,Eagle (set 2),
earthinv,Super Earth Invasion,
ebases,Extra Bases,
edf,Earth Defense Force,
eggs,Eggs,
eightman,Eight Man,
einnings,Extra Innings,
elecyoy2,Electric Yo-Yo, The (set 2),
elecyoyo,Electric Yo-Yo, The (set 1),
elevatob,Elevator Action (bootleg),
elevator,Elevator Action,
elim2,Eliminator (2 Players, set 1),
elim2a,Eliminator (2 Players, set 2),
elim4,Eliminator (4 Players),
empcity,Empire City: 1931 (bootleg?),
empcityj,Empire City: 1931 (Japan),
endurob2,Enduro Racer (bootleg set 2),
endurobl,Enduro Racer (bootleg set 1),
enduror,Enduro Racer,
eprom,Escape from the Planet of the Robot Monsters (set 1),
eprom2,Escape from the Planet of the Robot Monsters (set 2),
esb,Empire Strikes Back, The,"shoot em up in vektorgrafik"
espial,Espial (US?),
espiale,Espial (Europe),
esprade,ESP Ra.De. (Japan),
eswat,E-Swat,
eswatbl,E-Swat (bootleg),
euroch92,Euro Champ '92 (World),
excthour,Exciting Hour,
exctscc2,Exciting Soccer II,
exctscca,Exciting Soccer (alternate music),
exctsccb,Exciting Soccer (bootleg),
exctsccr,Exciting Soccer,
exedexes,Exed Exes,
exerion,Exerion,
exerionb,Exerion (bootleg),
exeriont,Exerion (Taito),
exerizrb,Exerizer (Japan) (bootleg),
exodus,Exodus (bootleg?),
exprraid,Express Raider (US),
exterm,Exterminator,
extrmatn,Extermination (US),
eyes,Eyes (Digitrex Techstar),
eyes2,Eyes (Techstar Inc.),
f1dream,F-1 Dream,
f1dreamb,F-1 Dream (bootleg),
f1gpstar,F1 Grand Prix Star,
faceoff,Face Off (Japan),
fantasy,Fantasy (US),
